split,class,count
train,bright_top_bright_bottom,297
train,bright_top_dark_bottom,231
train,dark_top_bright_bottom,234
train,dark_top_dark_bottom,297
train,TOTAL_OBJECTS,1059
train,IMAGES_WITH_LABELS,903
train,EMPTY_LABEL_IMAGES,0
valid,bright_top_bright_bottom,28
valid,bright_top_dark_bottom,22
valid,dark_top_bright_bottom,20
valid,dark_top_dark_bottom,20
valid,TOTAL_OBJECTS,90
valid,IMAGES_WITH_LABELS,77
valid,EMPTY_LABEL_IMAGES,0
test,bright_top_bright_bottom,17
test,bright_top_dark_bottom,12
test,dark_top_bright_bottom,11
test,dark_top_dark_bottom,7
test,TOTAL_OBJECTS,47
test,IMAGES_WITH_LABELS,39
test,EMPTY_LABEL_IMAGES,0
ALL,bright_top_bright_bottom,342
ALL,bright_top_dark_bottom,265
ALL,dark_top_bright_bottom,265
ALL,dark_top_dark_bottom,324
ALL,TOTAL_OBJECTS,1196
